"Year","interest_rate"
1962,3.95
1963,4
1964,4.19
1965,4.28
1966,4.93
1967,5.07
1968,5.64
1969,6.67
1970,7.35
1971,6.16
1972,6.21
1973,6.85
1974,7.56
1975,7.99
1976,7.61
1977,7.42
1978,8.41
1979,9.43
1980,11.43
1981,13.92
1982,13.01
1983,11.1
1984,12.46
1985,10.62
1986,7.67
1987,8.39
1988,8.85
1989,8.49
1990,8.55
1991,7.86
1992,7.01
1993,5.87
1994,7.09
1995,6.57
1996,6.44
1997,6.35
1998,5.26
1999,5.65
2000,6.03
2001,5.02
2002,4.61
2003,4.01
2004,4.27
2005,4.29
2006,4.8
2007,4.63
2008,3.66
2009,3.26
2010,3.22
2011,2.78
2012,1.8
2013,2.35
2014,2.54
